                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.86421,                0.33046,                 1.0369,                0.87294,                0.87737,                0.90513,                  0.634,                 1.1589,                0.84523,                 1.3249,              0.0005744,              0.0005744,              0.0005744
                     74,                0.85719,                0.33095,                 1.0363,                0.86854,                0.87572,                 0.9083,                0.63816,                  1.172,                0.83238,                 1.3245,              0.0005546,              0.0005546,              0.0005546
                     75,                0.85741,                 0.3312,                 1.0276,                 0.8632,                0.87703,                0.91275,                0.63831,                 1.1634,                0.81085,                 1.3476,              0.0005348,              0.0005348,              0.0005348
                     76,                0.84868,                0.32878,                 1.0289,                0.86984,                0.84362,                0.89783,                0.63236,                  1.152,                0.91602,                 1.3165,               0.000515,               0.000515,               0.000515
                     77,                0.85265,                0.32899,                 1.0366,                0.88713,                0.84266,                0.91242,                0.63467,                 1.1638,                0.82514,                 1.3503,              0.0004952,              0.0004952,              0.0004952
                     78,                0.84777,                0.32527,                 1.0211,                0.87624,                 0.8504,                0.89953,                0.62818,                 1.1766,                0.84591,                 1.3477,              0.0004754,              0.0004754,              0.0004754
                     79,                0.84661,                0.32393,                 1.0315,                0.87064,                0.83095,                0.89528,                0.62404,                 1.1769,                0.86676,                  1.341,              0.0004556,              0.0004556,              0.0004556
                     80,                0.84833,                0.32777,                  1.025,                 0.8714,                0.82008,                0.89064,                0.62806,                 1.1534,                0.94888,                 1.3198,              0.0004358,              0.0004358,              0.0004358
                     81,                0.84246,                0.32512,                 1.0198,                0.85897,                0.85053,                0.89577,                0.62919,                 1.1491,                0.89577,                 1.3297,               0.000416,               0.000416,               0.000416
                     82,                0.84726,                 0.3252,                 1.0225,                0.87242,                0.84254,                0.90747,                0.64039,                 1.1551,                0.88148,                 1.3412,              0.0003962,              0.0003962,              0.0003962
                     83,                0.83349,                0.32352,                 1.0287,                0.85754,                0.87655,                0.90674,                0.63493,                 1.1575,                0.79758,                 1.3426,              0.0003764,              0.0003764,              0.0003764
                     84,                0.83887,                0.32216,                 1.0216,                0.86626,                0.85548,                 0.9057,                0.63863,                 1.1517,                0.83864,                 1.3357,              0.0003566,              0.0003566,              0.0003566
                     85,                0.83367,                0.32115,                 1.0192,                0.86478,                0.87855,                0.91036,                0.64701,                 1.1463,                0.81797,                 1.3355,              0.0003368,              0.0003368,              0.0003368
                     86,                0.83234,                0.32237,                 1.0169,                0.86342,                0.86632,                  0.899,                0.63271,                  1.152,                0.85563,                 1.3299,               0.000317,               0.000317,               0.000317
                     87,                0.83668,                0.32282,                 1.0223,                0.86114,                0.86055,                0.89681,                0.63108,                 1.1523,                0.85758,                 1.3339,              0.0002972,              0.0002972,              0.0002972
                     88,                0.82586,                0.31566,                   1.02,                0.85835,                0.86746,                0.89983,                0.63891,                 1.1496,                0.83729,                  1.331,              0.0002774,              0.0002774,              0.0002774
                     89,                0.82393,                0.31781,                 1.0173,                0.86395,                0.85018,                0.89726,                 0.6332,                 1.1601,                0.84104,                 1.3459,              0.0002576,              0.0002576,              0.0002576
                     90,                0.82805,                0.31699,                 1.0163,                0.86196,                0.83841,                0.89503,                0.63333,                 1.1514,                0.91413,                  1.328,              0.0002378,              0.0002378,              0.0002378
                     91,                0.81772,                0.30482,                 1.0506,                0.86535,                0.83556,                0.88847,                0.62342,                  1.168,                0.95621,                 1.3525,               0.000218,               0.000218,               0.000218
                     92,                 0.8171,                0.30389,                 1.0429,                0.86081,                0.86918,                0.90399,                0.63938,                 1.1671,                0.85503,                 1.3548,              0.0001982,              0.0001982,              0.0001982
                     93,                0.81362,                0.30558,                 1.0481,                 0.8585,                0.84535,                0.89357,                0.63118,                 1.1636,                0.86458,                 1.3406,              0.0001784,              0.0001784,              0.0001784
                     94,                0.81192,                0.30295,                 1.0428,                0.85026,                0.84086,                0.88893,                0.62815,                 1.1668,                0.93635,                 1.3504,              0.0001586,              0.0001586,              0.0001586
                     95,                0.80969,                0.30181,                  1.043,                0.86896,                0.85721,                0.89718,                0.63411,                 1.1604,                0.86594,                 1.3403,              0.0001388,              0.0001388,              0.0001388
                     96,                0.80744,                0.29947,                 1.0432,                0.86354,                0.82853,                0.88355,                0.62473,                 1.1612,                0.96681,                 1.3433,               0.000119,               0.000119,               0.000119
                     97,                0.80486,                0.29838,                  1.043,                0.86309,                0.82392,                0.88256,                0.62081,                 1.1757,                0.98017,                 1.3602,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.80228,                0.29937,                 1.0427,                0.86199,                 0.8404,                0.88796,                0.62547,                 1.1737,                0.93919,                 1.3563,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.80235,                0.29607,                 1.0346,                 0.8618,                0.84806,                0.88862,                0.62786,                 1.1674,                0.92717,                 1.3537,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.80147,                 0.2981,                 1.0346,                0.86542,                0.86045,                0.89484,                0.63266,                 1.1631,                0.88014,                 1.3494,               3.98e-05,               3.98e-05,               3.98e-05
